dataset,openml_id,n_features,n_samples,minority_share,regular_gap,stratified_gap,delta_gap
Blood Transfusion,1464,4,748,0.238,-0.0450,-0.0424,0.0026
Adult,1590,14,48842,0.239,0.0318,0.0319,0.0001
QSAR Biodegradation,1494,41,1055,0.337,0.0717,0.0579,-0.0138
Spambase,44,57,4601,0.394,0.0110,0.0124,0.0014
Iris,61,4,150,0.333,0.0119,0.0075,-0.0044
German Credit,31,20,1000,0.300,0.0594,0.0508,-0.0086
KC1,1067,21,2109,0.155,-0.0275,-0.0332,-0.0057
PC1,1068,21,1109,0.069,-0.0896,-0.0753,0.0143
ILPD,1480,10,583,0.286,-0.0161,-0.0176,-0.0014
Diabetes,37,8,768,0.349,0.0542,0.0632,0.0089
Credit Approval,29,15,690,0.445,0.0572,0.0504,-0.0067
Mammography,310,6,11183,0.023,-0.0370,-0.0265,0.0105
Phoneme,1489,5,5404,0.293,-0.1615,-0.1625,-0.0009
